File accession	Assay	File assembly	Output type	Biosample term name	Biosample type	Experiment target	Biological replicate(s)	Technical replicate(s)	File download URL	Genome annotation
ENCFF866QJL	polyA plus RNA-seq	GRCh38	gene quantifications	GM12878	cell line	nan	1	1_1	https://www.encodeproject.org/files/ENCFF866QJL/@@download/ENCFF866QJL.tsv	V29
ENCFF431UBR	polyA plus RNA-seq	GRCh38	gene quantifications	GM12878	cell line	nan	2	2_1	https://www.encodeproject.org/files/ENCFF431UBR/@@download/ENCFF431UBR.tsv	V29
ENCFF910XWA	total RNA-seq	GRCh38	gene quantifications	GM12878	cell line	nan	1	1_1	https://www.encodeproject.org/files/ENCFF910XWA/@@download/ENCFF910XWA.tsv	V29
ENCFF413MYB	total RNA-seq	GRCh38	gene quantifications	GM12878	cell line	nan	2	2_1	https://www.encodeproject.org/files/ENCFF413MYB/@@download/ENCFF413MYB.tsv	V29
ENCFF477OQB	polyA plus RNA-seq	GRCh38	gene quantifications	GM12878	cell line	nan	1	1_1	https://www.encodeproject.org/files/ENCFF477OQB/@@download/ENCFF477OQB.tsv	V29
ENCFF170TZG	polyA plus RNA-seq	GRCh38	gene quantifications	GM12878	cell line	nan	2	2_1	https://www.encodeproject.org/files/ENCFF170TZG/@@download/ENCFF170TZG.tsv	V29
ENCFF387YXX	polyA plus RNA-seq	GRCh38	gene quantifications	GM12878	cell line	nan	1	1_1	https://www.encodeproject.org/files/ENCFF387YXX/@@download/ENCFF387YXX.tsv	V29
ENCFF089PEL	polyA plus RNA-seq	GRCh38	gene quantifications	GM12878	cell line	nan	2	2_1	https://www.encodeproject.org/files/ENCFF089PEL/@@download/ENCFF089PEL.tsv	V29
ENCFF559LBM	polyA plus RNA-seq	GRCh38	gene quantifications	GM12878	cell line	nan	2	2_1	https://www.encodeproject.org/files/ENCFF559LBM/@@download/ENCFF559LBM.tsv	V29
ENCFF547TND	polyA plus RNA-seq	GRCh38	gene quantifications	GM12878	cell line	nan	1	1_1	https://www.encodeproject.org/files/ENCFF547TND/@@download/ENCFF547TND.tsv	V29
ENCFF796OZN	polyA plus RNA-seq	GRCh38	gene quantifications	GM12878	cell line	nan	2	2_1	https://www.encodeproject.org/files/ENCFF796OZN/@@download/ENCFF796OZN.tsv	V29
ENCFF082OYF	total RNA-seq	GRCh38	gene quantifications	GM12878	cell line	nan	4	4_1	https://www.encodeproject.org/files/ENCFF082OYF/@@download/ENCFF082OYF.tsv	V29
ENCFF240WBI	total RNA-seq	GRCh38	gene quantifications	GM12878	cell line	nan	3	3_1	https://www.encodeproject.org/files/ENCFF240WBI/@@download/ENCFF240WBI.tsv	V29
ENCFF367CLO	polyA plus RNA-seq	GRCh38	gene quantifications	GM12878	cell line	nan	2	2_1	https://www.encodeproject.org/files/ENCFF367CLO/@@download/ENCFF367CLO.tsv	V29
ENCFF886ZXZ	polyA plus RNA-seq	GRCh38	gene quantifications	GM12878	cell line	nan	1	1_1	https://www.encodeproject.org/files/ENCFF886ZXZ/@@download/ENCFF886ZXZ.tsv	V29
ENCFF395EXV	polyA plus RNA-seq	GRCh38	gene quantifications	GM12878	cell line	nan	1	1_1	https://www.encodeproject.org/files/ENCFF395EXV/@@download/ENCFF395EXV.tsv	V29
ENCFF697ITP	polyA plus RNA-seq	GRCh38	gene quantifications	GM12878	cell line	nan	2	2_1	https://www.encodeproject.org/files/ENCFF697ITP/@@download/ENCFF697ITP.tsv	V29
ENCFF322YHR	polyA plus RNA-seq	GRCh38	gene quantifications	GM12878	cell line	nan	2	2_1	https://www.encodeproject.org/files/ENCFF322YHR/@@download/ENCFF322YHR.tsv	V29
ENCFF513IPT	polyA plus RNA-seq	GRCh38	gene quantifications	GM12878	cell line	nan	1	1_1	https://www.encodeproject.org/files/ENCFF513IPT/@@download/ENCFF513IPT.tsv	V29
ENCFF935TRK	polyA plus RNA-seq	GRCh38	gene quantifications	GM12878	cell line	nan	2	2_1	https://www.encodeproject.org/files/ENCFF935TRK/@@download/ENCFF935TRK.tsv	V29
ENCFF700JWD	polyA plus RNA-seq	GRCh38	gene quantifications	GM12878	cell line	nan	1	1_1	https://www.encodeproject.org/files/ENCFF700JWD/@@download/ENCFF700JWD.tsv	V29
ENCFF084FUG	total RNA-seq	GRCh38	gene quantifications	GM12878	cell line	nan	1	1_1	https://www.encodeproject.org/files/ENCFF084FUG/@@download/ENCFF084FUG.tsv	V29
ENCFF480HNH	polyA plus RNA-seq	GRCh38	gene quantifications	GM12878	cell line	nan	1	1_1	https://www.encodeproject.org/files/ENCFF480HNH/@@download/ENCFF480HNH.tsv	V29
ENCFF978HIY	polyA plus RNA-seq	GRCh38	gene quantifications	GM12878	cell line	nan	2	2_1	https://www.encodeproject.org/files/ENCFF978HIY/@@download/ENCFF978HIY.tsv	V29
ENCFF345SHY	total RNA-seq	GRCh38	gene quantifications	GM12878	cell line	nan	2	2_1	https://www.encodeproject.org/files/ENCFF345SHY/@@download/ENCFF345SHY.tsv	V29
ENCFF873VWU	total RNA-seq	GRCh38	gene quantifications	GM12878	cell line	nan	1	1_1	https://www.encodeproject.org/files/ENCFF873VWU/@@download/ENCFF873VWU.tsv	V29
ENCFF791MED	polyA plus RNA-seq	GRCh38	gene quantifications	GM12878	cell line	nan	1	1_1	https://www.encodeproject.org/files/ENCFF791MED/@@download/ENCFF791MED.tsv	V29
