File accession	Assay	File assembly	Output type	Biosample term name	Biosample type	Experiment target	Biological replicate(s)	Technical replicate(s)	File download URL	Genome annotation
ENCFF623UDU	polyA plus RNA-seq	GRCh38	gene quantifications	HeLa-S3	cell line	nan	2	2_1	https://www.encodeproject.org/files/ENCFF623UDU/@@download/ENCFF623UDU.tsv	V29
ENCFF297BJF	polyA plus RNA-seq	GRCh38	gene quantifications	HeLa-S3	cell line	nan	1	1_1	https://www.encodeproject.org/files/ENCFF297BJF/@@download/ENCFF297BJF.tsv	V29
ENCFF151QTZ	polyA plus RNA-seq	GRCh38	gene quantifications	HeLa-S3	cell line	nan	1	1_1	https://www.encodeproject.org/files/ENCFF151QTZ/@@download/ENCFF151QTZ.tsv	V29
ENCFF750TQI	polyA plus RNA-seq	GRCh38	gene quantifications	HeLa-S3	cell line	nan	2	2_1	https://www.encodeproject.org/files/ENCFF750TQI/@@download/ENCFF750TQI.tsv	V29
ENCFF496CRF	polyA plus RNA-seq	GRCh38	gene quantifications	HeLa-S3	cell line	nan	1	1_1	https://www.encodeproject.org/files/ENCFF496CRF/@@download/ENCFF496CRF.tsv	V29
ENCFF294GCU	polyA plus RNA-seq	GRCh38	gene quantifications	HeLa-S3	cell line	nan	2	2_1	https://www.encodeproject.org/files/ENCFF294GCU/@@download/ENCFF294GCU.tsv	V29
ENCFF300TMZ	polyA plus RNA-seq	GRCh38	gene quantifications	HeLa-S3	cell line	nan	2	2_1	https://www.encodeproject.org/files/ENCFF300TMZ/@@download/ENCFF300TMZ.tsv	V29
ENCFF835FVO	polyA plus RNA-seq	GRCh38	gene quantifications	HeLa-S3	cell line	nan	1	1_1	https://www.encodeproject.org/files/ENCFF835FVO/@@download/ENCFF835FVO.tsv	V29
ENCFF068HUH	polyA plus RNA-seq	GRCh38	gene quantifications	HeLa-S3	cell line	nan	1	1_1	https://www.encodeproject.org/files/ENCFF068HUH/@@download/ENCFF068HUH.tsv	V29
ENCFF217SNF	polyA plus RNA-seq	GRCh38	gene quantifications	HeLa-S3	cell line	nan	2	2_1	https://www.encodeproject.org/files/ENCFF217SNF/@@download/ENCFF217SNF.tsv	V29
ENCFF172PKC	DNase-seq	GRCh38	read-depth normalized signal	HeLa-S3	cell line	nan	1	1_1, 1_2, 1_3	https://www.encodeproject.org/files/ENCFF172PKC/@@download/ENCFF172PKC.bigWig	nan
ENCFF194NJI	DNase-seq	GRCh38	read-depth normalized signal	HeLa-S3	cell line	nan	1	1_1	https://www.encodeproject.org/files/ENCFF194NJI/@@download/ENCFF194NJI.bigWig	nan
ENCFF949GHX	DNase-seq	GRCh38	read-depth normalized signal	HeLa-S3	cell line	nan	2	2_1	https://www.encodeproject.org/files/ENCFF949GHX/@@download/ENCFF949GHX.bigWig	nan
ENCFF757GHL	DNase-seq	GRCh38	read-depth normalized signal	HeLa-S3	cell line	nan	1	1_1	https://www.encodeproject.org/files/ENCFF757GHL/@@download/ENCFF757GHL.bigWig	nan
ENCFF660ZUF	DNase-seq	GRCh38	read-depth normalized signal	HeLa-S3	cell line	nan	2	2_1	https://www.encodeproject.org/files/ENCFF660ZUF/@@download/ENCFF660ZUF.bigWig	nan
