File accession	Assay	File assembly	Output type	Biosample term name	Biosample type	Experiment target	Biological replicate(s)	Technical replicate(s)	File download URL	Genome annotation
ENCFF973GEQ	total RNA-seq	GRCh38	gene quantifications	K562	cell line	nan	2	2_1	https://www.encodeproject.org/files/ENCFF973GEQ/@@download/ENCFF973GEQ.tsv	V29
ENCFF051DBP	total RNA-seq	GRCh38	gene quantifications	K562	cell line	nan	1	1_1	https://www.encodeproject.org/files/ENCFF051DBP/@@download/ENCFF051DBP.tsv	V29
ENCFF296ZTM	total RNA-seq	GRCh38	gene quantifications	K562	cell line	nan	2	2_1	https://www.encodeproject.org/files/ENCFF296ZTM/@@download/ENCFF296ZTM.tsv	V29
ENCFF546LDW	total RNA-seq	GRCh38	gene quantifications	K562	cell line	nan	1	1_1	https://www.encodeproject.org/files/ENCFF546LDW/@@download/ENCFF546LDW.tsv	V29
ENCFF842EIL	polyA plus RNA-seq	GRCh38	gene quantifications	K562	cell line	nan	1	1_1	https://www.encodeproject.org/files/ENCFF842EIL/@@download/ENCFF842EIL.tsv	V29
ENCFF322EYC	polyA plus RNA-seq	GRCh38	gene quantifications	K562	cell line	nan	2	2_1	https://www.encodeproject.org/files/ENCFF322EYC/@@download/ENCFF322EYC.tsv	V29
ENCFF717PSW	total RNA-seq	GRCh38	gene quantifications	K562	cell line	nan	2	2_1	https://www.encodeproject.org/files/ENCFF717PSW/@@download/ENCFF717PSW.tsv	V29
ENCFF855AWK	total RNA-seq	GRCh38	gene quantifications	K562	cell line	nan	1	1_1	https://www.encodeproject.org/files/ENCFF855AWK/@@download/ENCFF855AWK.tsv	V29
ENCFF488ZHV	total RNA-seq	GRCh38	gene quantifications	K562	cell line	nan	2	2_1	https://www.encodeproject.org/files/ENCFF488ZHV/@@download/ENCFF488ZHV.tsv	V29
ENCFF731FLQ	total RNA-seq	GRCh38	gene quantifications	K562	cell line	nan	1	1_1	https://www.encodeproject.org/files/ENCFF731FLQ/@@download/ENCFF731FLQ.tsv	V29
ENCFF387IEG	total RNA-seq	GRCh38	gene quantifications	K562	cell line	nan	4	4_1	https://www.encodeproject.org/files/ENCFF387IEG/@@download/ENCFF387IEG.tsv	V29
ENCFF468UWE	total RNA-seq	GRCh38	gene quantifications	K562	cell line	nan	3	3_1	https://www.encodeproject.org/files/ENCFF468UWE/@@download/ENCFF468UWE.tsv	V29
ENCFF142LZQ	polyA plus RNA-seq	GRCh38	gene quantifications	K562	cell line	nan	2	2_1	https://www.encodeproject.org/files/ENCFF142LZQ/@@download/ENCFF142LZQ.tsv	V29
