File accession	Assay	File assembly	Output type	Biosample term name	Biosample type	Experiment target	Biological replicate(s)	Technical replicate(s)	File download URL	Genome annotation
ENCFF251DYL	polyA plus RNA-seq	GRCh38	gene quantifications	MCF-7	cell line	nan	3	3_1	https://www.encodeproject.org/files/ENCFF251DYL/@@download/ENCFF251DYL.tsv	V29
ENCFF555RJV	polyA plus RNA-seq	GRCh38	gene quantifications	MCF-7	cell line	nan	1	1_1	https://www.encodeproject.org/files/ENCFF555RJV/@@download/ENCFF555RJV.tsv	V29
ENCFF270SPQ	polyA plus RNA-seq	GRCh38	gene quantifications	MCF-7	cell line	nan	2	2_1	https://www.encodeproject.org/files/ENCFF270SPQ/@@download/ENCFF270SPQ.tsv	V29
ENCFF591QCK	polyA plus RNA-seq	GRCh38	gene quantifications	MCF-7	cell line	nan	4	4_1	https://www.encodeproject.org/files/ENCFF591QCK/@@download/ENCFF591QCK.tsv	V29
ENCFF395RXK	polyA plus RNA-seq	GRCh38	gene quantifications	MCF-7	cell line	nan	3	3_1	https://www.encodeproject.org/files/ENCFF395RXK/@@download/ENCFF395RXK.tsv	V29
ENCFF579SSX	polyA plus RNA-seq	GRCh38	gene quantifications	MCF-7	cell line	nan	3	3_1	https://www.encodeproject.org/files/ENCFF579SSX/@@download/ENCFF579SSX.tsv	V29
ENCFF252JIL	polyA plus RNA-seq	GRCh38	gene quantifications	MCF-7	cell line	nan	4	4_1	https://www.encodeproject.org/files/ENCFF252JIL/@@download/ENCFF252JIL.tsv	V29
ENCFF967AOT	polyA plus RNA-seq	GRCh38	gene quantifications	MCF-7	cell line	nan	2	2_1	https://www.encodeproject.org/files/ENCFF967AOT/@@download/ENCFF967AOT.tsv	V29
ENCFF921PJP	polyA plus RNA-seq	GRCh38	gene quantifications	MCF-7	cell line	nan	1	1_1	https://www.encodeproject.org/files/ENCFF921PJP/@@download/ENCFF921PJP.tsv	V29
ENCFF721BRA	total RNA-seq	GRCh38	gene quantifications	MCF-7	cell line	nan	1	1_1	https://www.encodeproject.org/files/ENCFF721BRA/@@download/ENCFF721BRA.tsv	V29
ENCFF038NFC	DNase-seq	GRCh38	read-depth normalized signal	MCF-7	cell line	nan	1	1_1, 1_2	https://www.encodeproject.org/files/ENCFF038NFC/@@download/ENCFF038NFC.bigWig	nan
ENCFF411ZPI	DNase-seq	GRCh38	read-depth normalized signal	MCF-7	cell line	nan	1	1_1	https://www.encodeproject.org/files/ENCFF411ZPI/@@download/ENCFF411ZPI.bigWig	nan
ENCFF921ADM	DNase-seq	GRCh38	read-depth normalized signal	MCF-7	cell line	nan	2	2_1	https://www.encodeproject.org/files/ENCFF921ADM/@@download/ENCFF921ADM.bigWig	nan
ENCFF270ENA	DNase-seq	GRCh38	read-depth normalized signal	MCF-7	cell line	nan	1	1_1, 1_2	https://www.encodeproject.org/files/ENCFF270ENA/@@download/ENCFF270ENA.bigWig	nan
ENCFF631QXL	DNase-seq	GRCh38	read-depth normalized signal	MCF-7	cell line	nan	1	1_1	https://www.encodeproject.org/files/ENCFF631QXL/@@download/ENCFF631QXL.bigWig	nan
ENCFF134COA	DNase-seq	GRCh38	read-depth normalized signal	MCF-7	cell line	nan	2	2_1	https://www.encodeproject.org/files/ENCFF134COA/@@download/ENCFF134COA.bigWig	nan
ENCFF934LJL	Histone ChIP-seq	GRCh38	fold change over control	MCF-7	cell line	H3K27ac-human	1, 2	1_1, 2_1	https://www.encodeproject.org/files/ENCFF934LJL/@@download/ENCFF934LJL.bigWig	nan
ENCFF222ZTN	Histone ChIP-seq	GRCh38	fold change over control	MCF-7	cell line	H3K27ac-human	1	1_1	https://www.encodeproject.org/files/ENCFF222ZTN/@@download/ENCFF222ZTN.bigWig	nan
ENCFF457TAN	Histone ChIP-seq	GRCh38	fold change over control	MCF-7	cell line	H3K27ac-human	2	2_1	https://www.encodeproject.org/files/ENCFF457TAN/@@download/ENCFF457TAN.bigWig	nan
ENCFF887BFN	Histone ChIP-seq	GRCh38	fold change over control	MCF-7	cell line	H3K4me3-human	1	1_1	https://www.encodeproject.org/files/ENCFF887BFN/@@download/ENCFF887BFN.bigWig	nan
ENCFF327VIA	Histone ChIP-seq	GRCh38	fold change over control	MCF-7	cell line	H3K4me3-human	2	2_1	https://www.encodeproject.org/files/ENCFF327VIA/@@download/ENCFF327VIA.bigWig	nan
