File accession	Assay	File assembly	Output type	Biosample term name	Biosample type	Experiment target	Biological replicate(s)	Technical replicate(s)	File download URL	Genome annotation
ENCFF518PXY	polyA plus RNA-seq	GRCh38	gene quantifications	adrenal gland	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF518PXY/@@download/ENCFF518PXY.tsv	V29
ENCFF605VAB	polyA plus RNA-seq	GRCh38	gene quantifications	adrenal gland	tissue	nan	1	1_2	https://www.encodeproject.org/files/ENCFF605VAB/@@download/ENCFF605VAB.tsv	V29
ENCFF743UBV	total RNA-seq	GRCh38	gene quantifications	adrenal gland	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF743UBV/@@download/ENCFF743UBV.tsv	V29
ENCFF517LIG	polyA plus RNA-seq	GRCh38	gene quantifications	adrenal gland	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF517LIG/@@download/ENCFF517LIG.tsv	V29
ENCFF539KXZ	total RNA-seq	GRCh38	gene quantifications	adrenal gland	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF539KXZ/@@download/ENCFF539KXZ.tsv	V29
ENCFF906UKI	polyA plus RNA-seq	GRCh38	gene quantifications	adrenal gland	tissue	nan	1	1_2	https://www.encodeproject.org/files/ENCFF906UKI/@@download/ENCFF906UKI.tsv	V29
ENCFF792KTB	total RNA-seq	GRCh38	gene quantifications	adrenal gland	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF792KTB/@@download/ENCFF792KTB.tsv	V29
ENCFF358WTK	polyA plus RNA-seq	GRCh38	gene quantifications	adrenal gland	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF358WTK/@@download/ENCFF358WTK.tsv	V29
ENCFF149EAW	polyA plus RNA-seq	GRCh38	gene quantifications	adrenal gland	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF149EAW/@@download/ENCFF149EAW.tsv	V29
ENCFF773UYG	polyA plus RNA-seq	GRCh38	gene quantifications	adrenal gland	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF773UYG/@@download/ENCFF773UYG.tsv	V29
ENCFF295BLS	polyA plus RNA-seq	GRCh38	gene quantifications	adrenal gland	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF295BLS/@@download/ENCFF295BLS.tsv	V29
ENCFF151YRN	polyA plus RNA-seq	GRCh38	gene quantifications	adrenal gland	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF151YRN/@@download/ENCFF151YRN.tsv	V29
