File accession	Assay	File assembly	Output type	Biosample term name	Biosample type	Experiment target	Biological replicate(s)	Technical replicate(s)	File download URL	Genome annotation
ENCFF693QKW	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF693QKW/@@download/ENCFF693QKW.tsv	V29
ENCFF128CDN	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF128CDN/@@download/ENCFF128CDN.tsv	V29
ENCFF847QGH	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF847QGH/@@download/ENCFF847QGH.tsv	V29
ENCFF981VSM	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF981VSM/@@download/ENCFF981VSM.tsv	V29
ENCFF937QJI	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF937QJI/@@download/ENCFF937QJI.tsv	V29
ENCFF203FBD	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF203FBD/@@download/ENCFF203FBD.tsv	V29
ENCFF962YZZ	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF962YZZ/@@download/ENCFF962YZZ.tsv	V29
ENCFF509MZI	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF509MZI/@@download/ENCFF509MZI.tsv	V29
ENCFF870FXA	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF870FXA/@@download/ENCFF870FXA.tsv	V29
ENCFF257ZGZ	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF257ZGZ/@@download/ENCFF257ZGZ.tsv	V29
ENCFF191XON	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF191XON/@@download/ENCFF191XON.tsv	V29
ENCFF770BLB	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF770BLB/@@download/ENCFF770BLB.tsv	V29
ENCFF787TLF	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF787TLF/@@download/ENCFF787TLF.tsv	V29
ENCFF658HZK	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF658HZK/@@download/ENCFF658HZK.tsv	V29
ENCFF342TEJ	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF342TEJ/@@download/ENCFF342TEJ.tsv	V29
ENCFF078MHA	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF078MHA/@@download/ENCFF078MHA.tsv	V29
ENCFF204SPU	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF204SPU/@@download/ENCFF204SPU.tsv	V29
ENCFF356KVK	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF356KVK/@@download/ENCFF356KVK.tsv	V29
ENCFF259IAM	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF259IAM/@@download/ENCFF259IAM.tsv	V29
ENCFF993SOA	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF993SOA/@@download/ENCFF993SOA.tsv	V29
ENCFF016SIN	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF016SIN/@@download/ENCFF016SIN.tsv	V29
ENCFF864KUN	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF864KUN/@@download/ENCFF864KUN.tsv	V29
ENCFF269MUV	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF269MUV/@@download/ENCFF269MUV.tsv	V29
ENCFF244BBE	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF244BBE/@@download/ENCFF244BBE.tsv	V29
ENCFF717NTL	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF717NTL/@@download/ENCFF717NTL.tsv	V29
ENCFF290QSC	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF290QSC/@@download/ENCFF290QSC.tsv	V29
ENCFF763RPV	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF763RPV/@@download/ENCFF763RPV.tsv	V29
ENCFF282AKI	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF282AKI/@@download/ENCFF282AKI.tsv	V29
ENCFF322BPU	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF322BPU/@@download/ENCFF322BPU.tsv	V29
ENCFF108ZQE	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF108ZQE/@@download/ENCFF108ZQE.tsv	V29
ENCFF324OWT	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF324OWT/@@download/ENCFF324OWT.tsv	V29
ENCFF312WUT	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF312WUT/@@download/ENCFF312WUT.tsv	V29
ENCFF248LJB	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF248LJB/@@download/ENCFF248LJB.tsv	V29
ENCFF677FGG	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF677FGG/@@download/ENCFF677FGG.tsv	V29
ENCFF436IXA	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF436IXA/@@download/ENCFF436IXA.tsv	V29
ENCFF479KNI	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF479KNI/@@download/ENCFF479KNI.tsv	V29
ENCFF166SFX	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF166SFX/@@download/ENCFF166SFX.tsv	V29
ENCFF574KNI	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF574KNI/@@download/ENCFF574KNI.tsv	V29
ENCFF080KYI	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF080KYI/@@download/ENCFF080KYI.tsv	V29
ENCFF822OZH	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF822OZH/@@download/ENCFF822OZH.tsv	V29
ENCFF311IDM	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF311IDM/@@download/ENCFF311IDM.tsv	V29
ENCFF602ENR	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF602ENR/@@download/ENCFF602ENR.tsv	V29
ENCFF530JCI	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	2	2_1	https://www.encodeproject.org/files/ENCFF530JCI/@@download/ENCFF530JCI.tsv	V29
ENCFF009AKE	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF009AKE/@@download/ENCFF009AKE.tsv	V29
ENCFF533JMS	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF533JMS/@@download/ENCFF533JMS.tsv	V29
ENCFF528OCH	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF528OCH/@@download/ENCFF528OCH.tsv	V29
ENCFF762VOE	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF762VOE/@@download/ENCFF762VOE.tsv	V29
ENCFF212FYI	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF212FYI/@@download/ENCFF212FYI.tsv	V29
ENCFF041HBD	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF041HBD/@@download/ENCFF041HBD.tsv	V29
ENCFF879JZU	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF879JZU/@@download/ENCFF879JZU.tsv	V29
ENCFF361FBY	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF361FBY/@@download/ENCFF361FBY.tsv	V29
ENCFF957XRW	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF957XRW/@@download/ENCFF957XRW.tsv	V29
ENCFF586KEK	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF586KEK/@@download/ENCFF586KEK.tsv	V29
ENCFF725USM	total RNA-seq	GRCh38	gene quantifications	dorsolateral prefrontal cortex	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF725USM/@@download/ENCFF725USM.tsv	V29
