File accession	Assay	File assembly	Output type	Biosample term name	Biosample type	Experiment target	Biological replicate(s)	Technical replicate(s)	File download URL	Genome annotation
ENCFF249NNL	total RNA-seq	GRCh38	gene quantifications	esophagus muscularis mucosa	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF249NNL/@@download/ENCFF249NNL.tsv	V29
ENCFF993HSV	total RNA-seq	GRCh38	gene quantifications	esophagus muscularis mucosa	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF993HSV/@@download/ENCFF993HSV.tsv	V29
ENCFF082QRB	total RNA-seq	GRCh38	gene quantifications	esophagus muscularis mucosa	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF082QRB/@@download/ENCFF082QRB.tsv	V29
ENCFF090GQE	total RNA-seq	GRCh38	gene quantifications	esophagus muscularis mucosa	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF090GQE/@@download/ENCFF090GQE.tsv	V29
ENCFF886QYD	DNase-seq	GRCh38	read-depth normalized signal	esophagus muscularis mucosa	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF886QYD/@@download/ENCFF886QYD.bigWig	nan
ENCFF901MOB	DNase-seq	GRCh38	read-depth normalized signal	esophagus muscularis mucosa	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF901MOB/@@download/ENCFF901MOB.bigWig	nan
ENCFF693HQZ	Histone ChIP-seq	GRCh38	fold change over control	esophagus muscularis mucosa	tissue	H3K4me3-human	1	1_1	https://www.encodeproject.org/files/ENCFF693HQZ/@@download/ENCFF693HQZ.bigWig	nan
ENCFF184VIO	Histone ChIP-seq	GRCh38	fold change over control	esophagus muscularis mucosa	tissue	H3K4me3-human	2	2_1	https://www.encodeproject.org/files/ENCFF184VIO/@@download/ENCFF184VIO.bigWig	nan
ENCFF061HFF	Histone ChIP-seq	GRCh38	fold change over control	esophagus muscularis mucosa	tissue	H3K4me3-human	1, 2	1_1, 2_1	https://www.encodeproject.org/files/ENCFF061HFF/@@download/ENCFF061HFF.bigWig	nan
ENCFF344ITP	Histone ChIP-seq	GRCh38	fold change over control	esophagus muscularis mucosa	tissue	H3K4me3-human	1	1_1, 1_2	https://www.encodeproject.org/files/ENCFF344ITP/@@download/ENCFF344ITP.bigWig	nan
