File accession	Assay	File assembly	Output type	Biosample term name	Biosample type	Experiment target	Biological replicate(s)	Technical replicate(s)	File download URL	Genome annotation
ENCFF092YVT	total RNA-seq	GRCh38	gene quantifications	heart left ventricle	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF092YVT/@@download/ENCFF092YVT.tsv	V29
ENCFF789UOH	total RNA-seq	GRCh38	gene quantifications	heart left ventricle	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF789UOH/@@download/ENCFF789UOH.tsv	V29
ENCFF417VDK	total RNA-seq	GRCh38	gene quantifications	heart left ventricle	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF417VDK/@@download/ENCFF417VDK.tsv	V29
ENCFF269SPH	total RNA-seq	GRCh38	gene quantifications	heart left ventricle	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF269SPH/@@download/ENCFF269SPH.tsv	V29
ENCFF408FCD	total RNA-seq	GRCh38	gene quantifications	heart left ventricle	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF408FCD/@@download/ENCFF408FCD.tsv	V29
ENCFF346ANG	polyA plus RNA-seq	GRCh38	gene quantifications	heart left ventricle	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF346ANG/@@download/ENCFF346ANG.tsv	V29
ENCFF646SZM	polyA plus RNA-seq	GRCh38	gene quantifications	heart left ventricle	tissue	nan	1	1_2	https://www.encodeproject.org/files/ENCFF646SZM/@@download/ENCFF646SZM.tsv	V29
ENCFF311HGE	total RNA-seq	GRCh38	gene quantifications	heart left ventricle	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF311HGE/@@download/ENCFF311HGE.tsv	V29
ENCFF440HGB	total RNA-seq	GRCh38	gene quantifications	heart left ventricle	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF440HGB/@@download/ENCFF440HGB.tsv	V29
ENCFF370RMR	total RNA-seq	GRCh38	gene quantifications	heart left ventricle	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF370RMR/@@download/ENCFF370RMR.tsv	V29
ENCFF610HRQ	total RNA-seq	GRCh38	gene quantifications	heart left ventricle	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF610HRQ/@@download/ENCFF610HRQ.tsv	V29
ENCFF122VLP	DNase-seq	GRCh38	read-depth normalized signal	heart left ventricle	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF122VLP/@@download/ENCFF122VLP.bigWig	nan
ENCFF417JSF	DNase-seq	GRCh38	read-depth normalized signal	heart left ventricle	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF417JSF/@@download/ENCFF417JSF.bigWig	nan
ENCFF867HAD	DNase-seq	GRCh38	read-depth normalized signal	heart left ventricle	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF867HAD/@@download/ENCFF867HAD.bigWig	nan
ENCFF321BJG	DNase-seq	GRCh38	read-depth normalized signal	heart left ventricle	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF321BJG/@@download/ENCFF321BJG.bigWig	nan
ENCFF099PUP	DNase-seq	GRCh38	read-depth normalized signal	heart left ventricle	tissue	nan	2	2_1	https://www.encodeproject.org/files/ENCFF099PUP/@@download/ENCFF099PUP.bigWig	nan
ENCFF414ADM	DNase-seq	GRCh38	read-depth normalized signal	heart left ventricle	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF414ADM/@@download/ENCFF414ADM.bigWig	nan
ENCFF380ELC	DNase-seq	GRCh38	read-depth normalized signal	heart left ventricle	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF380ELC/@@download/ENCFF380ELC.bigWig	nan
ENCFF107UJS	DNase-seq	GRCh38	read-depth normalized signal	heart left ventricle	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF107UJS/@@download/ENCFF107UJS.bigWig	nan
ENCFF414OIM	DNase-seq	GRCh38	read-depth normalized signal	heart left ventricle	tissue	nan	2	2_1	https://www.encodeproject.org/files/ENCFF414OIM/@@download/ENCFF414OIM.bigWig	nan
ENCFF891ETR	DNase-seq	GRCh38	read-depth normalized signal	heart left ventricle	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF891ETR/@@download/ENCFF891ETR.bigWig	nan
ENCFF254NBU	DNase-seq	GRCh38	read-depth normalized signal	heart left ventricle	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF254NBU/@@download/ENCFF254NBU.bigWig	nan
ENCFF992WUL	TF ChIP-seq	GRCh38	fold change over control	heart left ventricle	tissue	CTCF-human	1	1_1, 1_2	https://www.encodeproject.org/files/ENCFF992WUL/@@download/ENCFF992WUL.bigWig	nan
ENCFF960PIT	Histone ChIP-seq	GRCh38	fold change over control	heart left ventricle	tissue	H3K4me3-human	1	1_1, 1_2	https://www.encodeproject.org/files/ENCFF960PIT/@@download/ENCFF960PIT.bigWig	nan
ENCFF135RBK	Histone ChIP-seq	GRCh38	fold change over control	heart left ventricle	tissue	H3K27ac-human	1	1_1, 1_2	https://www.encodeproject.org/files/ENCFF135RBK/@@download/ENCFF135RBK.bigWig	nan
ENCFF593RGX	Histone ChIP-seq	GRCh38	fold change over control	heart left ventricle	tissue	H3K27ac-human	1	1_1, 1_2	https://www.encodeproject.org/files/ENCFF593RGX/@@download/ENCFF593RGX.bigWig	nan
