File accession	Assay	File assembly	Output type	Biosample term name	Biosample type	Experiment target	Biological replicate(s)	Technical replicate(s)	File download URL	Genome annotation
ENCFF987MOI	total RNA-seq	GRCh38	gene quantifications	heart right ventricle	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF987MOI/@@download/ENCFF987MOI.tsv	V29
ENCFF522CCM	total RNA-seq	GRCh38	gene quantifications	heart right ventricle	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF522CCM/@@download/ENCFF522CCM.tsv	V29
ENCFF932ROV	total RNA-seq	GRCh38	gene quantifications	heart right ventricle	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF932ROV/@@download/ENCFF932ROV.tsv	V29
ENCFF717ZEJ	total RNA-seq	GRCh38	gene quantifications	heart right ventricle	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF717ZEJ/@@download/ENCFF717ZEJ.tsv	V29
ENCFF244GXZ	total RNA-seq	GRCh38	gene quantifications	heart right ventricle	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF244GXZ/@@download/ENCFF244GXZ.tsv	V29
ENCFF335YZQ	total RNA-seq	GRCh38	gene quantifications	heart right ventricle	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF335YZQ/@@download/ENCFF335YZQ.tsv	V29
ENCFF387ORO	total RNA-seq	GRCh38	gene quantifications	heart right ventricle	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF387ORO/@@download/ENCFF387ORO.tsv	V29
ENCFF821VVG	total RNA-seq	GRCh38	gene quantifications	heart right ventricle	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF821VVG/@@download/ENCFF821VVG.tsv	V29
ENCFF471MPG	total RNA-seq	GRCh38	gene quantifications	heart right ventricle	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF471MPG/@@download/ENCFF471MPG.tsv	V29
ENCFF748VWG	polyA plus RNA-seq	GRCh38	gene quantifications	heart right ventricle	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF748VWG/@@download/ENCFF748VWG.tsv	V29
ENCFF717QQV	polyA plus RNA-seq	GRCh38	gene quantifications	heart right ventricle	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF717QQV/@@download/ENCFF717QQV.tsv	V29
ENCFF784GEM	total RNA-seq	GRCh38	gene quantifications	heart right ventricle	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF784GEM/@@download/ENCFF784GEM.tsv	V29
ENCFF824TGQ	DNase-seq	GRCh38	read-depth normalized signal	heart right ventricle	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF824TGQ/@@download/ENCFF824TGQ.bigWig	nan
ENCFF118JST	DNase-seq	GRCh38	read-depth normalized signal	heart right ventricle	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF118JST/@@download/ENCFF118JST.bigWig	nan
ENCFF688CZD	DNase-seq	GRCh38	read-depth normalized signal	heart right ventricle	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF688CZD/@@download/ENCFF688CZD.bigWig	nan
ENCFF956IPA	DNase-seq	GRCh38	read-depth normalized signal	heart right ventricle	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF956IPA/@@download/ENCFF956IPA.bigWig	nan
ENCFF315VTA	DNase-seq	GRCh38	read-depth normalized signal	heart right ventricle	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF315VTA/@@download/ENCFF315VTA.bigWig	nan
