File accession	Assay	File assembly	Output type	Biosample term name	Biosample type	Experiment target	Biological replicate(s)	Technical replicate(s)	File download URL	Genome annotation
ENCFF731OXT	polyA plus RNA-seq	GRCh38	gene quantifications	left lung	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF731OXT/@@download/ENCFF731OXT.tsv	V29
ENCFF983GQI	polyA plus RNA-seq	GRCh38	gene quantifications	left lung	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF983GQI/@@download/ENCFF983GQI.tsv	V29
ENCFF528IHJ	polyA plus RNA-seq	GRCh38	gene quantifications	left lung	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF528IHJ/@@download/ENCFF528IHJ.tsv	V29
ENCFF503AXR	polyA plus RNA-seq	GRCh38	gene quantifications	left lung	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF503AXR/@@download/ENCFF503AXR.tsv	V29
ENCFF117ELC	polyA plus RNA-seq	GRCh38	gene quantifications	left lung	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF117ELC/@@download/ENCFF117ELC.tsv	V29
ENCFF954WNL	polyA plus RNA-seq	GRCh38	gene quantifications	left lung	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF954WNL/@@download/ENCFF954WNL.tsv	V29
ENCFF759RCN	total RNA-seq	GRCh38	gene quantifications	left lung	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF759RCN/@@download/ENCFF759RCN.tsv	V29
ENCFF489CHJ	total RNA-seq	GRCh38	gene quantifications	left lung	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF489CHJ/@@download/ENCFF489CHJ.tsv	V29
ENCFF427YCR	DNase-seq	GRCh38	read-depth normalized signal	left lung	tissue	nan	1	1_2	https://www.encodeproject.org/files/ENCFF427YCR/@@download/ENCFF427YCR.bigWig	nan
ENCFF931RCZ	DNase-seq	GRCh38	read-depth normalized signal	left lung	tissue	nan	1	1_3	https://www.encodeproject.org/files/ENCFF931RCZ/@@download/ENCFF931RCZ.bigWig	nan
