File accession	Assay	File assembly	Output type	Biosample term name	Biosample type	Experiment target	Biological replicate(s)	Technical replicate(s)	File download URL	Genome annotation
ENCFF655EPQ	total RNA-seq	GRCh38	gene quantifications	placenta	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF655EPQ/@@download/ENCFF655EPQ.tsv	V29
ENCFF150SPZ	polyA plus RNA-seq	GRCh38	gene quantifications	placenta	tissue	nan	1	1_2	https://www.encodeproject.org/files/ENCFF150SPZ/@@download/ENCFF150SPZ.tsv	V29
ENCFF320BJB	total RNA-seq	GRCh38	gene quantifications	placenta	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF320BJB/@@download/ENCFF320BJB.tsv	V29
ENCFF149KLH	total RNA-seq	GRCh38	gene quantifications	placenta	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF149KLH/@@download/ENCFF149KLH.tsv	V29
ENCFF459HRW	total RNA-seq	GRCh38	gene quantifications	placenta	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF459HRW/@@download/ENCFF459HRW.tsv	V29
ENCFF062KDX	total RNA-seq	GRCh38	gene quantifications	placenta	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF062KDX/@@download/ENCFF062KDX.tsv	V29
ENCFF859QWL	total RNA-seq	GRCh38	gene quantifications	placenta	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF859QWL/@@download/ENCFF859QWL.tsv	V29
ENCFF221IRL	total RNA-seq	GRCh38	gene quantifications	placenta	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF221IRL/@@download/ENCFF221IRL.tsv	V29
ENCFF002NOM	total RNA-seq	GRCh38	gene quantifications	placenta	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF002NOM/@@download/ENCFF002NOM.tsv	V29
ENCFF694CZM	total RNA-seq	GRCh38	gene quantifications	placenta	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF694CZM/@@download/ENCFF694CZM.tsv	V29
ENCFF982CMC	total RNA-seq	GRCh38	gene quantifications	placenta	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF982CMC/@@download/ENCFF982CMC.tsv	V29
ENCFF854EYM	total RNA-seq	GRCh38	gene quantifications	placenta	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF854EYM/@@download/ENCFF854EYM.tsv	V29
ENCFF741NOM	total RNA-seq	GRCh38	gene quantifications	placenta	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF741NOM/@@download/ENCFF741NOM.tsv	V29
ENCFF948NNO	DNase-seq	GRCh38	read-depth normalized signal	placenta	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF948NNO/@@download/ENCFF948NNO.bigWig	nan
ENCFF977AML	DNase-seq	GRCh38	read-depth normalized signal	placenta	tissue	nan	2	2_1	https://www.encodeproject.org/files/ENCFF977AML/@@download/ENCFF977AML.bigWig	nan
ENCFF581YXV	DNase-seq	GRCh38	read-depth normalized signal	placenta	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF581YXV/@@download/ENCFF581YXV.bigWig	nan
ENCFF297HLF	DNase-seq	GRCh38	read-depth normalized signal	placenta	tissue	nan	1	1_5	https://www.encodeproject.org/files/ENCFF297HLF/@@download/ENCFF297HLF.bigWig	nan
ENCFF021DHC	DNase-seq	GRCh38	read-depth normalized signal	placenta	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF021DHC/@@download/ENCFF021DHC.bigWig	nan
ENCFF524BAA	DNase-seq	GRCh38	read-depth normalized signal	placenta	tissue	nan	2	2_1	https://www.encodeproject.org/files/ENCFF524BAA/@@download/ENCFF524BAA.bigWig	nan
ENCFF470BCI	DNase-seq	GRCh38	read-depth normalized signal	placenta	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF470BCI/@@download/ENCFF470BCI.bigWig	nan
ENCFF022ZKX	DNase-seq	GRCh38	read-depth normalized signal	placenta	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF022ZKX/@@download/ENCFF022ZKX.bigWig	nan
ENCFF917LSA	DNase-seq	GRCh38	read-depth normalized signal	placenta	tissue	nan	2	2_1	https://www.encodeproject.org/files/ENCFF917LSA/@@download/ENCFF917LSA.bigWig	nan
