File accession	Assay	File assembly	Output type	Biosample term name	Biosample type	Experiment target	Biological replicate(s)	Technical replicate(s)	File download URL	Genome annotation
ENCFF373KYJ	polyA plus RNA-seq	GRCh38	gene quantifications	spleen	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF373KYJ/@@download/ENCFF373KYJ.tsv	V29
ENCFF562XSR	polyA plus RNA-seq	GRCh38	gene quantifications	spleen	tissue	nan	1	1_2	https://www.encodeproject.org/files/ENCFF562XSR/@@download/ENCFF562XSR.tsv	V29
ENCFF977XRF	polyA plus RNA-seq	GRCh38	gene quantifications	spleen	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF977XRF/@@download/ENCFF977XRF.tsv	V29
ENCFF751VBP	polyA plus RNA-seq	GRCh38	gene quantifications	spleen	tissue	nan	1	1_2	https://www.encodeproject.org/files/ENCFF751VBP/@@download/ENCFF751VBP.tsv	V29
ENCFF278GBV	total RNA-seq	GRCh38	gene quantifications	spleen	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF278GBV/@@download/ENCFF278GBV.tsv	V29
ENCFF143INW	total RNA-seq	GRCh38	gene quantifications	spleen	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF143INW/@@download/ENCFF143INW.tsv	V29
ENCFF596LUX	polyA plus RNA-seq	GRCh38	gene quantifications	spleen	tissue	nan	1	1_2	https://www.encodeproject.org/files/ENCFF596LUX/@@download/ENCFF596LUX.tsv	V29
ENCFF604YLU	total RNA-seq	GRCh38	gene quantifications	spleen	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF604YLU/@@download/ENCFF604YLU.tsv	V29
ENCFF080JPL	total RNA-seq	GRCh38	gene quantifications	spleen	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF080JPL/@@download/ENCFF080JPL.tsv	V29
ENCFF022DRF	total RNA-seq	GRCh38	gene quantifications	spleen	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF022DRF/@@download/ENCFF022DRF.tsv	V29
