File accession	Assay	File assembly	Output type	Biosample term name	Biosample type	Experiment target	Biological replicate(s)	Technical replicate(s)	File download URL	Genome annotation
ENCFF299YCQ	polyA plus RNA-seq	GRCh38	gene quantifications	stomach	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF299YCQ/@@download/ENCFF299YCQ.tsv	V29
ENCFF249GSX	polyA plus RNA-seq	GRCh38	gene quantifications	stomach	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF249GSX/@@download/ENCFF249GSX.tsv	V29
ENCFF420ZLV	polyA plus RNA-seq	GRCh38	gene quantifications	stomach	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF420ZLV/@@download/ENCFF420ZLV.tsv	V29
ENCFF963NVW	total RNA-seq	GRCh38	gene quantifications	stomach	tissue	nan	2	2_1	https://www.encodeproject.org/files/ENCFF963NVW/@@download/ENCFF963NVW.tsv	V29
ENCFF607LUW	total RNA-seq	GRCh38	gene quantifications	stomach	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF607LUW/@@download/ENCFF607LUW.tsv	V29
ENCFF029IVK	polyA plus RNA-seq	GRCh38	gene quantifications	stomach	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF029IVK/@@download/ENCFF029IVK.tsv	V29
ENCFF419AEM	polyA plus RNA-seq	GRCh38	gene quantifications	stomach	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF419AEM/@@download/ENCFF419AEM.tsv	V29
ENCFF096LZK	polyA plus RNA-seq	GRCh38	gene quantifications	stomach	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF096LZK/@@download/ENCFF096LZK.tsv	V29
ENCFF776BTK	total RNA-seq	GRCh38	gene quantifications	stomach	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF776BTK/@@download/ENCFF776BTK.tsv	V29
ENCFF702ALH	polyA plus RNA-seq	GRCh38	gene quantifications	stomach	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF702ALH/@@download/ENCFF702ALH.tsv	V29
ENCFF149JGN	polyA plus RNA-seq	GRCh38	gene quantifications	stomach	tissue	nan	1	1_2	https://www.encodeproject.org/files/ENCFF149JGN/@@download/ENCFF149JGN.tsv	V29
