File accession	Assay	File assembly	Output type	Biosample term name	Biosample type	Experiment target	Biological replicate(s)	Technical replicate(s)	File download URL	Genome annotation
ENCFF366BBV	total RNA-seq	GRCh38	gene quantifications	transverse colon	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF366BBV/@@download/ENCFF366BBV.tsv	V29
ENCFF490WXZ	total RNA-seq	GRCh38	gene quantifications	transverse colon	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF490WXZ/@@download/ENCFF490WXZ.tsv	V29
ENCFF801VQX	total RNA-seq	GRCh38	gene quantifications	transverse colon	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF801VQX/@@download/ENCFF801VQX.tsv	V29
ENCFF875UFG	total RNA-seq	GRCh38	gene quantifications	transverse colon	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF875UFG/@@download/ENCFF875UFG.tsv	V29
ENCFF624FJD	DNase-seq	GRCh38	read-depth normalized signal	transverse colon	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF624FJD/@@download/ENCFF624FJD.bigWig	nan
ENCFF138FMV	DNase-seq	GRCh38	read-depth normalized signal	transverse colon	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF138FMV/@@download/ENCFF138FMV.bigWig	nan
ENCFF413EKZ	DNase-seq	GRCh38	read-depth normalized signal	transverse colon	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF413EKZ/@@download/ENCFF413EKZ.bigWig	nan
ENCFF098CAJ	DNase-seq	GRCh38	read-depth normalized signal	transverse colon	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF098CAJ/@@download/ENCFF098CAJ.bigWig	nan
ENCFF291LZE	DNase-seq	GRCh38	read-depth normalized signal	transverse colon	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF291LZE/@@download/ENCFF291LZE.bigWig	nan
ENCFF753MXL	DNase-seq	GRCh38	read-depth normalized signal	transverse colon	tissue	nan	1	1_1	https://www.encodeproject.org/files/ENCFF753MXL/@@download/ENCFF753MXL.bigWig	nan
